,feat_index,importance_val,importance_val_std
QRSBasicStat_p_25,8,1.860043966770172,0.1178671577182668
QRSBasicStat_p_5,3,1.6743152022361756,0.08798173963724651
QRSBasicStat_p_95,7,1.5100239038467407,0.0747937285392878
QRSBasicStat_Min,6,1.4606489062309265,0.038558666690008694
QRSBasicStat_Skew,5,0.985349178314209,0.02759757153414049
QRSBasicStatPointMedian_Var,14,0.9820608973503113,0.04339810722695581
QRSBasicStatPointMedian_Min,19,0.9224338352680206,0.04025067537926938
QRSBasicStat_Count,9,0.8396323680877685,0.01893743238417792
QRSBasicStat_p_75,4,0.8021545648574829,0.03336241411606319
QRSBasicStatPointMedian_Range,15,0.8000897407531739,0.0338626170467072
QRSBasicStatPointMedian_Count,17,0.7961765944957733,0.09732290067552438
QRSBasicStatPointMedian_p_25,18,0.7801076412200928,0.0644973294891084
QRSBasicStatPointMedian_Skew,16,0.772830730676651,0.019565834707274354
QRSBasicStat_Median,0,0.7322992742061615,0.034879189103999134
QRSBasicStatPointMedian_HR,11,0.7176511645317077,0.037648930469792355
QRSBasicStat_HR,1,0.7022966921329499,0.02296917356646102
QRSBasicStatPointMedian_Median,10,0.6999047875404358,0.021572260844228128
QRSBasicStat_Mean,2,0.6792047023773193,0.06687257127134777
QRSBasicStatPointMedian_Mean,12,0.6613381683826447,0.07853909691660985
QRSBasicStatPointMedian_p_75,13,0.6246437668800354,0.023419829154834156
