,feat_index,importance_val,importance_val_std
QRSBasicStat_p_25,8,1.8797239065170288,0.0
QRSBasicStat_p_5,3,1.591991901397705,0.0
QRSBasicStat_Min,6,1.5801011323928833,0.0
QRSBasicStat_p_95,7,1.4234565496444702,0.0
QRSBasicStatPointMedian_Count,17,1.0486857891082764,0.0
QRSBasicStatPointMedian_Var,14,1.0099148750305176,0.0
QRSBasicStat_Skew,5,1.0040502548217773,0.0
QRSBasicStatPointMedian_Min,19,0.9131176471710205,0.0
QRSBasicStat_Count,9,0.8075384497642517,0.0
QRSBasicStatPointMedian_Range,15,0.7912176847457886,0.0
QRSBasicStatPointMedian_Skew,16,0.7864987850189209,0.0
QRSBasicStat_p_75,4,0.7762391567230225,0.0
QRSBasicStatPointMedian_p_75,13,0.7567785978317261,0.0
QRSBasicStat_Mean,2,0.7498195767402649,0.0
QRSBasicStatPointMedian_p_25,18,0.745615541934967,0.0
QRSBasicStatPointMedian_Median,10,0.7203081250190735,0.0
QRSBasicStatPointMedian_Mean,12,0.7097397446632385,0.0
QRSBasicStat_Median,0,0.6924629807472229,0.0
QRSBasicStat_HR,1,0.6666898131370544,0.0
QRSBasicStatPointMedian_HR,11,0.6380613446235657,0.0
