Method,n_iter,n_fold,F1_N,F1_A,F1_O,F1_P,F1
XGBoost_E,0,1,0.9058039961941009,0.8316831683168316,0.7477876106194691,0.6019417475728155,0.7718041306758043
XGBoost_E,0,2,0.9022201228153047,0.7628865979381443,0.7304730473047305,0.5684210526315789,0.7410002051724396
XGBoost_E,0,3,0.9006240998559769,0.7972508591065293,0.7348242811501597,0.5656565656565656,0.749588951442308
XGBoost_E,0,4,0.9021636876763875,0.784452296819788,0.75,0.5979381443298969,0.7586385322065181
XGBoost_E,0,5,0.8943396226415095,0.797153024911032,0.7088888888888889,0.6605504587155964,0.7652329987892567
XGBoost_E,1,1,0.9115128449096099,0.7972027972027972,0.7652173913043478,0.6153846153846154,0.7723294122003426
XGBoost_E,1,2,0.9029815428300993,0.7902097902097902,0.7362637362637363,0.5631067961165048,0.7481404663550326
XGBoost_E,1,3,0.8983050847457628,0.7986577181208053,0.7336343115124153,0.5769230769230769,0.751880047825515
XGBoost_E,1,4,0.9047844623401232,0.7943262411347518,0.7276688453159041,0.6262626262626263,0.7632605437633513
XGBoost_E,1,5,0.8901569186875892,0.7697594501718213,0.7142857142857143,0.5652173913043478,0.7348548686123682
XGBoost_E,2,1,0.8985231062410671,0.8108108108108109,0.7288693743139407,0.6415094339622641,0.7699281813320207
XGBoost_E,2,2,0.9023124115148655,0.7755102040816326,0.7270718232044199,0.6170212765957447,0.7554789288491657
XGBoost_E,2,3,0.89720511605874,0.7526132404181185,0.7360350492880613,0.49504950495049505,0.7202257276788537
XGBoost_E,2,4,0.9011933174224344,0.7887323943661971,0.7376344086021506,0.6138613861386139,0.760355376632349
XGBoost_E,2,5,0.902334444973797,0.8280701754385965,0.761596548004315,0.6464646464646465,0.7846164537203387
XGBoost_E,3,1,0.9059665871121718,0.7956989247311828,0.7611940298507462,0.58,0.7607148854235253
XGBoost_E,3,2,0.8962616822429906,0.8271186440677966,0.7149321266968326,0.45161290322580644,0.7224813390583565
XGBoost_E,3,3,0.9103977000479156,0.7959866220735786,0.7640692640692641,0.6078431372549019,0.769574180861415
XGBoost_E,3,4,0.8921337729627885,0.7687074829931972,0.7037861915367484,0.631578947368421,0.7490515987152888
XGBoost_E,3,5,0.8920589633856396,0.7703180212014135,0.710239651416122,0.660377358490566,0.7582484986234354
XGBoost_E,4,1,0.8959318826868495,0.8080808080808081,0.7216721672167217,0.5869565217391305,0.7531603449308774
XGBoost_E,4,2,0.8963878326996197,0.7491166077738516,0.7145969498910676,0.5607476635514018,0.7302122634789853
XGBoost_E,4,3,0.9067676289635589,0.7703180212014135,0.7568756875687569,0.5794392523364486,0.7533501475175445
XGBoost_E,4,4,0.8917501192179303,0.8271186440677966,0.7384284176533907,0.6292134831460674,0.7716276660212962
XGBoost_E,4,5,0.9067676289635589,0.7491408934707904,0.7522123893805309,0.6078431372549019,0.7539910122674456
ENCASE_E,0,1,0.8987161198288159,0.8203389830508474,0.7458745874587459,0.6285714285714286,0.7733752797274595
ENCASE_E,0,2,0.8969072164948454,0.7862068965517242,0.7332576617480137,0.6355140186915887,0.7629714483715431
ENCASE_E,0,3,0.9127962085308057,0.780327868852459,0.7443946188340808,0.6666666666666666,0.776046340721003
ENCASE_E,0,4,0.8906844106463878,0.8175675675675675,0.7165178571428571,0.6140350877192983,0.7597012307690277
ENCASE_E,0,5,0.9128352490421456,0.781021897810219,0.7616033755274262,0.58,0.7588651305949478
ENCASE_E,1,1,0.9034712315739419,0.8203389830508474,0.7491712707182321,0.6238532110091743,0.7742086740880489
ENCASE_E,1,2,0.9100478468899521,0.8066666666666666,0.7623220153340635,0.6972477064220184,0.7940710588281752
ENCASE_E,1,3,0.8980952380952381,0.782312925170068,0.7175572519083969,0.5742574257425742,0.7430557102290694
ENCASE_E,1,4,0.9097744360902256,0.8292682926829268,0.7620111731843575,0.7,0.8002634754893776
ENCASE_E,1,5,0.9007992477668078,0.8,0.748314606741573,0.5242718446601942,0.7433464247921437
ENCASE_E,2,1,0.9068557919621749,0.8013468013468014,0.7418994413407821,0.6666666666666666,0.7791921753291062
ENCASE_E,2,2,0.8999055712936733,0.8235294117647058,0.7274749721913237,0.6415094339622641,0.7731048473029918
ENCASE_E,2,3,0.9026465028355387,0.7602739726027398,0.7444933920704846,0.5416666666666666,0.7372701335438574
ENCASE_E,2,4,0.9020544672718586,0.8013937282229965,0.7508090614886731,0.5825242718446602,0.759195382207047
ENCASE_E,2,5,0.8944866920152091,0.7959183673469388,0.7308970099667774,0.6788990825688074,0.7750502879744331
ENCASE_E,3,1,0.9090047393364928,0.8095238095238095,0.7630700778642937,0.7155963302752294,0.7992987392499564
ENCASE_E,3,2,0.8943396226415095,0.7697841726618705,0.7218543046357616,0.5555555555555556,0.7353834138736743
ENCASE_E,3,3,0.9079637577491655,0.785234899328859,0.7475409836065574,0.6078431372549019,0.762145694484871
ENCASE_E,3,4,0.9024621212121212,0.8373702422145328,0.7577092511013216,0.6138613861386139,0.7778507501666474
ENCASE_E,3,5,0.9054441260744985,0.8092105263157895,0.7549668874172185,0.6037735849056604,0.7683487811782916
ENCASE_E,4,1,0.9050119331742243,0.7902097902097902,0.7448869752421959,0.6078431372549019,0.7619879589702782
ENCASE_E,4,2,0.9073543457497613,0.8120805369127517,0.7631578947368421,0.6851851851851852,0.791944490646135
ENCASE_E,4,3,0.8939179632248939,0.8137931034482758,0.7195530726256983,0.6226415094339622,0.7624764121832076
ENCASE_E,4,4,0.9073724007561437,0.8305647840531561,0.755011135857461,0.5894736842105263,0.7706055012193218
ENCASE_E,4,5,0.9042654028436019,0.7622377622377622,0.7397563676633444,0.6126126126126126,0.7547180363393303
